================ Training Loss (Tue Nov 17 03:34:35 2020) ================
(epoch: 28, iters: 300, time: 0.340, data: 0.001) D_A: 0.450 G_A: 1.120 cycle_A: 1.288 idt_A: 0.741 D_B: 0.054 G_B: 0.406 cycle_B: 1.110 idt_B: 0.586 
(epoch: 28, iters: 400, time: 0.863, data: 0.001) D_A: 0.197 G_A: 0.356 cycle_A: 1.662 idt_A: 0.797 D_B: 0.114 G_B: 0.877 cycle_B: 1.580 idt_B: 0.700 
(epoch: 29, iters: 100, time: 0.340, data: 0.169) D_A: 0.104 G_A: 0.364 cycle_A: 1.311 idt_A: 0.644 D_B: 0.170 G_B: 0.496 cycle_B: 2.242 idt_B: 0.634 
(epoch: 29, iters: 200, time: 0.339, data: 0.001) D_A: 0.179 G_A: 0.610 cycle_A: 1.613 idt_A: 1.058 D_B: 0.065 G_B: 0.624 cycle_B: 2.074 idt_B: 0.759 
(epoch: 29, iters: 300, time: 0.340, data: 0.002) D_A: 0.213 G_A: 0.307 cycle_A: 2.025 idt_A: 0.602 D_B: 0.193 G_B: 0.614 cycle_B: 1.570 idt_B: 1.189 
(epoch: 29, iters: 400, time: 0.906, data: 0.001) D_A: 0.075 G_A: 0.641 cycle_A: 2.841 idt_A: 0.565 D_B: 0.057 G_B: 0.611 cycle_B: 1.013 idt_B: 1.329 
(epoch: 30, iters: 100, time: 0.340, data: 0.150) D_A: 0.092 G_A: 0.530 cycle_A: 1.528 idt_A: 0.426 D_B: 0.254 G_B: 0.211 cycle_B: 1.882 idt_B: 0.734 
(epoch: 30, iters: 200, time: 0.340, data: 0.001) D_A: 0.549 G_A: 0.559 cycle_A: 1.355 idt_A: 0.991 D_B: 0.648 G_B: 0.036 cycle_B: 1.795 idt_B: 0.631 
(epoch: 30, iters: 300, time: 0.339, data: 0.002) D_A: 0.290 G_A: 0.510 cycle_A: 1.601 idt_A: 1.032 D_B: 0.042 G_B: 0.186 cycle_B: 1.622 idt_B: 0.722 
(epoch: 30, iters: 400, time: 0.928, data: 0.001) D_A: 0.277 G_A: 0.246 cycle_A: 2.523 idt_A: 0.465 D_B: 0.300 G_B: 0.121 cycle_B: 1.538 idt_B: 1.069 
